City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Huaraz,PE,2021-03-29 00:36:07,-9.5333,-77.5333,56.34,84,98,0.38
114,Gushikawa,JP,2021-03-29 00:36:07,26.3544,127.8686,73.4,94,75,5.75
115,Ancud,CL,2021-03-29 00:36:07,-41.8697,-73.8203,62.6,72,0,12.66
116,Vila,PT,2021-03-29 00:35:26,42.0304,-8.1588,51.01,61,1,1.99
117,Karratha,AU,2021-03-29 00:36:08,-20.7377,116.8463,93.02,38,21,10.31
118,Dikson,RU,2021-03-29 00:33:07,73.5069,80.5464,-28.34,99,99,7.16
119,Puerto Ayora,EC,2021-03-29 00:36:08,-0.7393,-90.3518,78.01,92,28,5.01
120,Narsaq,GL,2021-03-29 00:36:09,60.9167,-46.05,19.4,53,0,4.61
121,Hilo,US,2021-03-29 00:34:36,19.7297,-155.09,73.4,73,90,8.72
122,Labuhan,ID,2021-03-29 00:36:09,-6.8844,112.2051,80.78,79,94,4.83
123,Tibiri,NE,2021-03-29 00:36:10,13.5627,7.0485,70.81,16,4,11.97
124,Verkhnevilyuysk,RU,2021-03-29 00:36:10,63.4453,120.3167,23.34,91,94,3.53
125,Podosinovets,RU,2021-03-29 00:36:11,60.2776,47.0659,19.85,98,100,3.85
126,Thunder Bay,CA,2021-03-29 00:36:11,48.4001,-89.3168,32.0,51,20,5.75
127,Eureka,US,2021-03-29 00:36:12,40.8021,-124.1637,52.0,77,3,7.0
128,Bluff,NZ,2021-03-29 00:36:12,-46.6,168.3333,61.0,88,19,13.0
129,Lagoa,PT,2021-03-29 00:36:13,39.05,-27.9833,59.45,82,100,16.93
130,Senador Pompeu,BR,2021-03-29 00:36:13,-5.5881,-39.3717,72.48,93,10,2.33
131,Margate,GB,2021-03-29 00:36:13,51.3813,1.3862,48.99,71,99,8.01
132,Saskylakh,RU,2021-03-29 00:36:14,71.9167,114.0833,0.45,96,100,4.14
133,Kieta,PG,2021-03-29 00:36:14,-6.2167,155.6333,85.06,67,100,4.07
134,Qaanaaq,GL,2021-03-29 00:36:15,77.484,-69.3632,-20.7,74,74,5.44
