City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Cabo San Lucas,MX,22.8909,-109.9124,73.0,42,100,9.73,overcast clouds
201,Marawi,PH,7.9986,124.2928,84.0,83,100,5.01,overcast clouds
202,Seshcha,RU,53.7361,33.3387,46.06,89,76,8.3,broken clouds
203,Komsomolskiy,UZ,40.4272,71.7189,42.8,52,20,39.12,few clouds
204,Araure,VE,9.5601,-69.2148,76.64,74,99,5.88,overcast clouds
205,Vaitape,PF,-16.5167,-151.75,82.9,68,100,5.03,overcast clouds
206,Husavik,IS,66.0449,-17.3389,42.8,65,75,16.11,broken clouds
207,Mugumu,TZ,-1.85,34.7,66.36,77,25,5.41,scattered clouds
208,Alofi,NU,-19.0595,-169.9187,82.4,83,4,11.5,clear sky
209,Taoudenni,ML,22.6783,-3.9836,76.84,9,15,10.07,few clouds
210,San Cristobal,VE,7.7669,-72.225,66.67,84,99,2.66,overcast clouds
211,Cartagena,CO,10.3997,-75.5144,80.6,78,40,4.61,scattered clouds
212,Fort Nelson,CA,58.8053,-122.7002,39.2,38,75,4.61,broken clouds
213,Rafraf,TN,37.1904,10.1837,53.6,100,20,5.91,mist
214,Nieuwpoort,BE,51.1244,2.7735,50.0,81,40,2.3,mist
215,Maxixe,MZ,-23.8597,35.3472,73.4,78,20,4.97,few clouds
216,Vao,NC,-22.6667,167.4833,73.81,82,100,13.73,moderate rain
217,Berberati,CF,4.2612,15.7922,71.62,69,59,3.67,broken clouds
218,Det Udom,TH,14.906,105.0784,100.0,44,0,4.61,clear sky
219,Puerto Ayora,EC,-0.7393,-90.3518,75.0,95,16,2.75,few clouds
220,Naryan-Mar,RU,67.6713,53.087,30.69,94,100,6.6,overcast clouds
221,Cap-Aux-Meules,CA,47.3821,-61.8597,41.0,93,100,19.57,overcast clouds
222,Yakeshi,CN,49.2833,120.7333,51.4,33,100,6.29,overcast clouds
223,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,11.5,clear sky
224,Sandovo,RU,58.4602,36.4128,36.57,88,100,7.38,overcast clouds
225,Luganville,VU,-15.5333,167.1667,81.9,80,93,1.92,overcast clouds
226,Hasaki,JP,35.7333,140.8333,71.01,52,40,11.5,scattered clouds
227,Lorengau,PG,-2.0226,147.2712,83.55,73,75,2.55,broken clouds
228,Heihe,CN,50.2441,127.4902,55.4,28,40,13.42,scattered clouds
229,Japura,ID,-0.3167,102.35,78.82,76,100,2.95,overcast clouds
230,Cap Malheureux,MU,-19.9842,57.6142,84.0,72,7,8.99,clear sky
231,Beringovskiy,RU,63.05,179.3167,5.77,91,51,6.17,broken clouds
232,Liepaja,LV,56.5419,21.0367,35.6,93,90,13.8,light rain
233,Santa Cruz,BO,-17.8,-63.1667,75.2,69,75,5.75,broken clouds
234,Xining,CN,36.6167,101.7667,38.35,66,100,12.08,overcast clouds
235,Bontang,ID,0.1333,117.5,86.02,67,98,6.93,overcast clouds
236,Dakar,SN,14.6937,-17.4441,64.4,88,0,17.27,clear sky
237,Sao Filipe,CV,14.8961,-24.4956,71.17,73,22,12.3,few clouds
238,Kahului,US,20.8947,-156.47,73.4,88,40,17.27,scattered clouds
239,Odweyne,SO,9.4092,45.064,76.23,19,61,6.11,broken clouds
240,Caravelas,BR,-17.7125,-39.2481,74.21,95,82,5.61,broken clouds
241,Camapua,BR,-19.5314,-54.0439,69.04,74,31,4.34,scattered clouds
242,Juba,SS,4.8517,31.5825,82.92,50,77,6.76,broken clouds
243,Bethel,US,41.3712,-73.414,57.2,94,90,9.57,mist
244,Isangel,VU,-19.55,169.2667,80.19,79,100,11.07,moderate rain
245,Grindavik,IS,63.8424,-22.4338,41.0,87,90,20.71,overcast clouds
246,Conde,BR,-7.2597,-34.9075,75.2,100,20,5.59,few clouds
247,Peto,MX,20.1333,-88.9167,69.87,88,43,1.36,scattered clouds
248,Praia,CV,14.9215,-23.5087,68.0,77,75,14.97,broken clouds
249,Prata,BR,-19.3072,-48.9242,66.83,74,38,0.78,scattered clouds
250,Portland,US,45.5234,-122.6762,55.99,47,40,9.22,scattered clouds
251,Berlevag,NO,70.8578,29.0864,33.46,91,100,10.38,light snow
252,Champasak,LA,14.75,106.0,95.0,49,40,9.22,haze
253,Russell,US,32.3502,-85.1999,50.0,76,90,11.5,overcast clouds
254,Belize,BZ,17.25,-88.75,73.99,81,28,2.53,scattered clouds
255,Lebanon,US,36.2081,-86.2911,43.0,65,75,3.44,broken clouds
256,Taltal,CL,-25.4,-70.4833,61.99,84,8,1.25,clear sky
257,Maniitsoq,GL,65.4167,-52.9,29.61,96,100,35.75,snow
258,West Wendover,US,40.7391,-114.0733,37.4,35,1,4.61,clear sky
259,Bakchar,RU,57.0186,82.0711,29.28,91,100,11.59,overcast clouds
260,Laguna,US,38.421,-121.4238,63.0,51,1,2.98,clear sky
261,Kununurra,AU,-15.7667,128.7333,93.2,31,100,18.41,overcast clouds
262,Wanning,CN,18.8003,110.3967,84.85,66,11,14.63,few clouds
263,Aykhal,RU,66.0,111.5,-8.3,85,100,13.62,overcast clouds
264,Manadhoo,MV,5.7667,73.3833,84.24,75,43,14.18,scattered clouds
265,Ahipara,NZ,-35.1667,173.1667,63.86,77,21,6.55,few clouds
266,Carnarvon,AU,-24.8667,113.6333,95.0,34,0,19.57,clear sky
267,Eenhana,NA,-17.4667,16.3333,64.74,88,99,4.56,light rain
268,Palora,EC,-1.7,-77.9333,63.5,93,90,2.1,overcast clouds
269,Tazovskiy,RU,67.4667,78.7,-7.8,83,63,16.15,broken clouds
270,Cururupu,BR,-1.8283,-44.8683,73.27,97,100,0.96,moderate rain
271,Semporna,MY,4.4818,118.6112,89.6,70,20,5.75,few clouds
272,Lompoc,US,34.6391,-120.4579,55.4,71,0,4.61,clear sky
273,Roma,US,43.2128,-75.4557,39.99,87,90,11.5,overcast clouds
274,Balsas,BR,-7.5325,-46.0356,74.12,91,100,1.19,overcast clouds
275,Esso,RU,55.9333,158.7,34.63,99,100,5.08,light snow
276,Lydenburg,ZA,-25.0978,30.4597,55.99,100,29,0.43,scattered clouds
277,Soe,ID,-9.8607,124.284,68.2,97,100,2.86,overcast clouds
278,Katsina,NG,12.9894,7.6006,66.18,11,29,10.94,scattered clouds
279,Port Keats,AU,-14.25,129.55,81.01,62,100,11.14,overcast clouds
